Algorithm N Comparison Time
bubble 0 0 0.00000017
insertion-smart 0 0 0.00000011
insertion-dumb 0 0 0.00000003
selection 0 0 0.00000003
quick 0 0 0.000000121
std_unstable 0 0 0.000000131
std 0 0 0.00000014
bubble 0 0 0.00000002
insertion-smart 0 0 0.00000003
insertion-dumb 0 0 0.00000002
selection 0 0 0.00000002
quick 0 0 0.00000002
std_unstable 0 0 0.00000002
std 0 0 0.00000003
bubble 0 0 0.00000002
insertion-smart 0 0 0.00000002
insertion-dumb 0 0 0.00000003
selection 0 0 0.00000003
quick 0 0 0.00000002
std_unstable 0 0 0.00000002
std 0 0 0.00000003
bubble 0 0 0.00000002
insertion-smart 0 0 0.00000002
insertion-dumb 0 0 0.00000002
selection 0 0 0.00000003
quick 0 0 0.00000002
std_unstable 0 0 0.00000003
std 0 0 0.00000002
bubble 0 0 0.00000002
insertion-smart 0 0 0.00000002
insertion-dumb 0 0 0.000000021
selection 0 0 0.00000002
quick 0 0 0.00000002
std_unstable 0 0 0.00000003
std 0 0 0.00000003
bubble 0 0 0.00000002
insertion-smart 0 0 0.00000002
insertion-dumb 0 0 0.00000002
selection 0 0 0.00000002
quick 0 0 0.00000002
std_unstable 0 0 0.00000002
std 0 0 0.00000003
bubble 0 0 0.00000002
insertion-smart 0 0 0.00000002
insertion-dumb 0 0 0.00000002
selection 0 0 0.00000003
quick 0 0 0.00000002
std_unstable 0 0 0.00000002
std 0 0 0.00000003
bubble 0 0 0.00000003
insertion-smart 0 0 0.000000021
insertion-dumb 0 0 0.00000002
selection 0 0 0.00000002
quick 0 0 0.00000002
std_unstable 0 0 0.00000002
std 0 0 0.00000003
bubble 0 0 0.00000003
insertion-smart 0 0 0.00000003
insertion-dumb 0 0 0.00000002
selection 0 0 0.00000003
quick 0 0 0.00000002
std_unstable 0 0 0.00000003
std 0 0 0.00000003
bubble 0 0 0.00000002
insertion-smart 0 0 0.00000002
insertion-dumb 0 0 0.00000002
selection 0 0 0.00000002
quick 0 0 0.00000002
std_unstable 0 0 0.00000002
std 0 0 0.00000003
bubble 1 0 0.00000003
insertion-smart 1 0 0.00000002
insertion-dumb 1 0 0.00000002
selection 1 0 0.00000004
quick 1 0 0.00000003
std_unstable 1 0 0.00000003
std 1 0 0.00000002
bubble 1 0 0.00000002
insertion-smart 1 0 0.00000002
insertion-dumb 1 0 0.00000003
selection 1 0 0.00000002
quick 1 0 0.00000002
std_unstable 1 0 0.00000002
std 1 0 0.00000003
bubble 1 0 0.00000002
insertion-smart 1 0 0.00000002
insertion-dumb 1 0 0.00000003
selection 1 0 0.00000003
quick 1 0 0.00000002
std_unstable 1 0 0.00000002
std 1 0 0.00000002
bubble 1 0 0.00000002
insertion-smart 1 0 0.00000003
insertion-dumb 1 0 0.00000002
selection 1 0 0.00000003
quick 1 0 0.00000002
std_unstable 1 0 0.00000002
std 1 0 0.00000003
bubble 1 0 0.00000002
insertion-smart 1 0 0.000000031
insertion-dumb 1 0 0.00000002
selection 1 0 0.00000002
quick 1 0 0.00000007
std_unstable 1 0 0.00000005
std 1 0 0.00000004
bubble 1 0 0.00000002
insertion-smart 1 0 0.00000004
insertion-dumb 1 0 0.00000003
selection 1 0 0.00000005
quick 1 0 0.00000002
std_unstable 1 0 0.00000002
std 1 0 0.00000002
bubble 1 0 0.00000002
insertion-smart 1 0 0.00000002
insertion-dumb 1 0 0.00000002
selection 1 0 0.00000002
quick 1 0 0.00000002
std_unstable 1 0 0.00000002
std 1 0 0.00000002
bubble 1 0 0.00000002
insertion-smart 1 0 0.00000003
insertion-dumb 1 0 0.00000002
selection 1 0 0.00000002
quick 1 0 0.00000002
std_unstable 1 0 0.00000002
std 1 0 0.00000003
bubble 1 0 0.00000002
insertion-smart 1 0 0.00000003
insertion-dumb 1 0 0.00000002
selection 1 0 0.00000002
quick 1 0 0.00000003
std_unstable 1 0 0.00000002
std 1 0 0.00000002
bubble 1 0 0.00000002
insertion-smart 1 0 0.000000021
insertion-dumb 1 0 0.00000002
selection 1 0 0.00000003
quick 1 0 0.000000031
std_unstable 1 0 0.00000003
std 1 0 0.00000002
bubble 10 72 0.000000471
insertion-smart 10 23 0.000000371
insertion-dumb 10 38 0.00000018
selection 10 45 0.00000028
quick 10 31 0.000000201
std_unstable 10 38 0.000000191
std 10 38 0.000000241
bubble 10 54 0.000000371
insertion-smart 10 23 0.000000311
insertion-dumb 10 25 0.000000181
selection 10 45 0.000000291
quick 10 27 0.00000016
std_unstable 10 25 0.00000013
std 10 24 0.00000017
bubble 10 72 0.000000371
insertion-smart 10 21 0.000000311
insertion-dumb 10 27 0.00000015
selection 10 45 0.000000291
quick 10 38 0.0000003
std_unstable 10 27 0.00000012
std 10 27 0.00000014
bubble 10 54 0.00000031
insertion-smart 10 21 0.000000271
insertion-dumb 10 26 0.000000161
selection 10 45 0.000000271
quick 10 29 0.000000201
std_unstable 10 26 0.000000141
std 10 27 0.00000019
bubble 10 63 0.000000421
insertion-smart 10 22 0.000000291
insertion-dumb 10 34 0.0000002
selection 10 45 0.00000029
